#{"t_start": 1713661405.640897, "env_id": "PandaPickAndPlace-v1"}
r,l,t,is_success
-50.0,50,712.255667,0.0
-50.0,50,714.705444,0.0
-50.0,50,717.188612,0.0
-50.0,50,719.567812,0.0
-50.0,50,721.904081,0.0
-50.0,50,724.27249,0.0
-50.0,50,730.650576,0.0
-50.0,50,733.563848,0.0
-50.0,50,736.836592,0.0
-50.0,50,739.644524,0.0
-50.0,50,742.456943,0.0
-50.0,50,745.021824,0.0
-50.0,50,747.442454,0.0
-50.0,50,749.763026,0.0
-50.0,50,752.020672,0.0
-50.0,50,754.384011,0.0
-50.0,50,756.772665,0.0
-50.0,50,759.517942,0.0
-50.0,50,761.860619,0.0
-50.0,50,764.226896,0.0
-50.0,50,766.843466,0.0
-50.0,50,769.40164,0.0
-50.0,50,772.032697,0.0
-50.0,50,774.867634,0.0
-50.0,50,777.712798,0.0
-50.0,50,780.267528,0.0
-50.0,50,783.238404,0.0
-50.0,50,785.925193,0.0
-50.0,50,788.439491,0.0
-50.0,50,790.857821,0.0
-50.0,50,793.515233,0.0
-50.0,50,796.52103,0.0
-50.0,50,798.977014,0.0
-50.0,50,801.283728,0.0
-50.0,50,803.619051,0.0
-50.0,50,805.939693,0.0
-50.0,50,808.474688,0.0
-50.0,50,810.682533,0.0
-50.0,50,813.038622,0.0
-50.0,50,815.297377,0.0
-50.0,50,817.640818,0.0
-50.0,50,819.898892,0.0
-50.0,50,822.211496,0.0
-50.0,50,824.522639,0.0
-50.0,50,826.743892,0.0
-50.0,50,829.038204,0.0
-50.0,50,831.43351,0.0
-50.0,50,833.774646,0.0
-50.0,50,836.262937,0.0
-50.0,50,838.721722,0.0
-50.0,50,840.991299,0.0
-50.0,50,843.638899,0.0
-50.0,50,846.004845,0.0
-50.0,50,848.416812,0.0
-50.0,50,850.715457,0.0
-50.0,50,852.932947,0.0
-50.0,50,855.397405,0.0
-50.0,50,857.973152,0.0
-50.0,50,860.525173,0.0
-50.0,50,863.507775,0.0
-45.0,50,866.554574,0.0
-50.0,50,869.206813,0.0
-50.0,50,872.162422,0.0
-50.0,50,874.783791,0.0
-50.0,50,877.472198,0.0
-50.0,50,880.068319,0.0
-50.0,50,882.781456,0.0
-50.0,50,885.494133,0.0
-50.0,50,888.159322,0.0
-50.0,50,890.621026,0.0
-50.0,50,892.913912,0.0
-50.0,50,895.441767,0.0
-50.0,50,897.787203,0.0
-50.0,50,900.264367,0.0
-50.0,50,902.701312,0.0
-50.0,50,905.209441,0.0
-50.0,50,907.728654,0.0
-50.0,50,910.607578,0.0
-50.0,50,913.547276,0.0
-50.0,50,916.173154,0.0
-50.0,50,918.917659,0.0
-50.0,50,921.59387,0.0
-50.0,50,924.195433,0.0
-35.0,50,927.210157,0.0
-50.0,50,929.960391,0.0
-50.0,50,932.591168,0.0
-50.0,50,935.056908,0.0
-50.0,50,937.470079,0.0
-50.0,50,939.728759,0.0
-50.0,50,942.282343,0.0
0.0,50,944.683043,1.0
-50.0,50,946.926575,0.0
-50.0,50,949.161632,0.0
-50.0,50,951.586091,0.0
-50.0,50,954.042723,0.0
-50.0,50,956.358656,0.0
-50.0,50,959.074632,0.0
-50.0,50,961.729029,0.0
-50.0,50,964.114573,0.0
-50.0,50,966.584607,0.0
-50.0,50,969.002349,0.0
-50.0,50,971.416553,0.0
-33.0,50,973.734955,0.0
-50.0,50,975.981858,0.0
-50.0,50,978.521071,0.0
-50.0,50,981.165848,0.0
-50.0,50,983.748857,0.0
-50.0,50,986.222436,0.0
-50.0,50,988.980321,0.0
-50.0,50,991.648092,0.0
-50.0,50,994.172222,0.0
-50.0,50,996.957521,0.0
-50.0,50,999.547098,0.0
-50.0,50,1001.995278,0.0
-50.0,50,1004.340205,0.0
-50.0,50,1006.682667,0.0
-50.0,50,1009.030332,0.0
-50.0,50,1011.41911,0.0
-50.0,50,1014.138907,0.0
-50.0,50,1016.837045,0.0
-50.0,50,1019.678017,0.0
-50.0,50,1022.472961,0.0
-50.0,50,1025.305371,0.0
-50.0,50,1027.872211,0.0
-50.0,50,1030.545459,0.0
-50.0,50,1033.246018,0.0
-50.0,50,1035.90291,0.0
-50.0,50,1038.350071,0.0
-50.0,50,1040.754393,0.0
-50.0,50,1043.165959,0.0
-50.0,50,1045.622575,0.0
-50.0,50,1048.318422,0.0
-50.0,50,1050.939376,0.0
-50.0,50,1053.454154,0.0
-50.0,50,1055.943,0.0
-50.0,50,1058.565253,0.0
-50.0,50,1060.976707,0.0
-50.0,50,1063.663677,0.0
-50.0,50,1066.044013,0.0
-50.0,50,1068.642863,0.0
-50.0,50,1071.745906,0.0
-50.0,50,1074.400893,0.0
-50.0,50,1076.982493,0.0
-50.0,50,1079.871353,0.0
-50.0,50,1082.81859,0.0
-50.0,50,1085.294293,0.0
-50.0,50,1087.859163,0.0
-50.0,50,1090.319969,0.0
-50.0,50,1092.653633,0.0
-47.0,50,1095.042106,0.0
-50.0,50,1097.927328,0.0
-50.0,50,1100.666359,0.0
-50.0,50,1102.982265,0.0
-50.0,50,1105.492739,0.0
-50.0,50,1108.564277,0.0
0.0,50,1111.240862,1.0
-50.0,50,1114.049864,0.0
-50.0,50,1117.34463,0.0
-50.0,50,1120.059208,0.0
-50.0,50,1122.716242,0.0
-50.0,50,1125.026568,0.0
-50.0,50,1127.697117,0.0
-50.0,50,1130.553566,0.0
-50.0,50,1133.337068,0.0
-50.0,50,1136.560121,0.0
-50.0,50,1139.312747,0.0
-50.0,50,1142.708616,0.0
-50.0,50,1145.860038,0.0
-50.0,50,1148.78825,0.0
-50.0,50,1151.490117,0.0
-45.0,50,1154.309963,0.0
-50.0,50,1157.216899,0.0
-50.0,50,1160.07426,0.0
-50.0,50,1162.932361,0.0
-50.0,50,1165.335734,0.0
-50.0,50,1167.846619,0.0
-50.0,50,1170.207773,0.0
-50.0,50,1172.72719,0.0
-50.0,50,1175.249892,0.0
-50.0,50,1177.723133,0.0
-50.0,50,1180.153043,0.0
-50.0,50,1182.553797,0.0
-50.0,50,1184.968545,0.0
-50.0,50,1187.521361,0.0
-15.0,50,1189.95724,1.0
-50.0,50,1192.576507,0.0
-50.0,50,1194.956605,0.0
-49.0,50,1197.376078,0.0
-50.0,50,1199.942216,0.0
-50.0,50,1202.38496,0.0
-50.0,50,1204.895727,0.0
0.0,50,1207.585082,1.0
-50.0,50,1210.113315,0.0
-50.0,50,1212.816696,0.0
-50.0,50,1215.244892,0.0
-50.0,50,1217.933846,0.0
-50.0,50,1220.895976,0.0
-50.0,50,1223.530856,0.0
-50.0,50,1225.912417,0.0
-50.0,50,1228.569921,0.0
-50.0,50,1231.141681,0.0
-50.0,50,1233.391608,0.0
-50.0,50,1235.727255,0.0
-50.0,50,1238.327698,0.0
-50.0,50,1241.434162,0.0
-50.0,50,1244.346803,0.0
-50.0,50,1246.788182,0.0
-50.0,50,1249.56464,0.0
-50.0,50,1253.443429,0.0
-46.0,50,1256.065511,0.0
-50.0,50,1258.839874,0.0
-50.0,50,1261.269831,0.0
0.0,50,1263.746234,1.0
-50.0,50,1266.286412,0.0
